Instituição;Código;Conglomerado Prudencial;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
BANCO DO BRASIL S.A.;0;BB - PRUDENCIAL;49906;80329;b1;1;1;BRASILIA;DF;12/2021;1.849.474.216;749.601.403;1.715.248.318;1.503.751.858;134.225.898;9.849.986;3.982;690
CAIXA ECONOMICA FEDERAL;360305;CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;51626;80738;b1;1;6;BRASILIA;DF;12/2021;1.448.814.858;867.646.057;1.372.659.890;1.184.390.205;76.154.968;5.621.478;3.373;907
BANCO BRADESCO S.A.;60746948;BRADESCO - PRUDENCIAL;10045;80075;b1;2;8;OSASCO;SP;12/2021;1.400.970.960;505.952.724;1.253.849.949;1.082.948.290;147.121.011;9.818.626;2.948;1.367
ITAÚ UNIBANCO S.A.;60701190;ITAU - PRUDENCIAL;10069;80099;b1;2;8;SAO PAULO;SP;12/2021;1.388.723.777;368.106.383;1.273.215.266;1.108.320.920;115.508.511;10.782.570;2.858;944
BANCO SANTANDER (BRASIL) S.A.;90400888;SANTANDER - PRUDENCIAL;30379;80185;b1;3;8;SAO PAULO;SP;12/2021;914.417.006;325.131.706;830.669.055;675.630.733;83.747.951;7.900.433;2.589;1.993
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;BNDES - PRUDENCIAL;;81847;b4;1;4;RIO DE JANEIRO;RJ;12/2021;774.202.721;269.374.211;647.205.695;264.154.062;126.997.027;18.953.009;5;0
BANCO BTG PACTUAL S.A.;30306294;BTG PACTUAL - PRUDENCIAL;49944;80336;b1;2;8;RIO DE JANEIRO;RJ;12/2021;281.626.302;46.115.797;244.246.555;187.944.370;37.379.747;3.118.845;19;0
BANCO SAFRA S.A.;58160789;SAFRA - PRUDENCIAL;10083;80109;b1;2;8;SAO PAULO;SP;12/2021;215.467.463;83.284.734;200.401.856;174.473.188;15.065.607;1.022.305;115;4
ITAÚ UNIBANCO HOLDING S.A.;60872504;ITAU - PRUDENCIAL;10069;80099;b1;2;8;SAO PAULO;SP;12/2021;162.031.327;0;17.467.027;0;144.564.300;13.443.442;2;0
BANCO ITAUCARD S.A.;17192451;ITAU - PRUDENCIAL;10069;80099;b2;2;8;SAO PAULO;SP;12/2021;146.020.406;121.124.642;135.199.290;63.121.375;10.821.116;884.049;2;0
BANCO CITIBANK S.A.;33479023;CITIBANK - PRUDENCIAL;30403;80192;b1;3;8;SAO PAULO;SP;12/2021;127.221.247;28.950.321;123.004.259;87.471.193;4.216.989;838.224;51;8
